Az ingatlan helye,"Családi ház átlagár, ezer Ft/m²",Családi ház átlagár darab,"Többlakásos társasház átlagár, ezer Ft/m²",Többlakásos társasház darab,"Lakótelepi panel átlagár, ezer Ft/m²",Lakótelepi panel darab,"Lakások összesen átlagár, ezer Ft/m²",Lakások összesen darab,"Lakások összesen relatív szórás, %",Év,Kerület
Jázmin utca,,,350.0,9.0,,,350,9,16,2015,8
József körút,,,283.0,119.0,,,283,119,33,2015,8
József utca,,,206.0,63.0,,,206,63,30,2015,8
Kálvária tér,,,195.0,26.0,,,195,26,25,2015,8
Kálvária utca,,,250.0,37.0,,,250,37,28,2015,8
Karácsony Sándor utca,,,185.0,41.0,,,185,41,30,2015,8
Kenyérmező utca,,,199.0,4.0,,,199,4,27,2015,8
Kerepesi út,,,174.0,21.0,,,174,21,28,2015,8
Kis Fuvaros utca,,,225.0,11.0,,,225,11,21,2015,8
Kis Stáció utca,,,314.0,4.0,,,314,4,30,2015,8
Kisfaludy utca,,,272.0,19.0,,,272,19,26,2015,8
Kiss József utca,,,236.0,30.0,,,236,30,33,2015,8
Kőfaragó utca,,,324.0,9.0,,,324,9,27,2015,8
Korányi Sándor utca,,,228.0,12.0,,,228,12,36,2015,8
Kőris utca,,,219.0,37.0,,,219,37,29,2015,8
Koszorú utca,,,215.0,18.0,,,215,18,32,2015,8
Krúdy Gyula utca,,,298.0,31.0,,,298,31,33,2015,8
Kun utca,,,203.0,4.0,,,203,4,28,2015,8
Leonardo da Vinci utca,,,236.0,33.0,245.0,6.0,237,39,26,2015,8
Losonci tér,,,196.0,12.0,,,196,12,25,2015,8
Lujza utca,,,164.0,56.0,,,164,56,28,2015,8
Luther utca,,,287.0,14.0,,,287,14,32,2015,8
Magdolna utca,,,191.0,33.0,,,191,33,28,2015,8
Mária utca,,,289.0,17.0,,,289,17,24,2015,8
Mátyás tér,,,206.0,30.0,,,206,30,29,2015,8
Múzeum körút,,,343.0,6.0,,,343,6,35,2015,8
Nagy Fuvaros utca,,,198.0,39.0,,,198,39,42,2015,8
Nap utca,,,287.0,20.0,200.0,7.0,265,27,35,2015,8
Német utca,,,252.0,16.0,,,252,16,34,2015,8
Népszínház utca,,,199.0,129.0,,,199,130,29,2015,8
Orczy tér,,,258.0,14.0,,,258,14,15,2015,8
Orczy út,,,217.0,45.0,207.0,7.0,216,52,23,2015,8
Osztály utca,,,,,236.0,8.0,236,8,14,2015,8
Pál utca,,,264.0,7.0,,,264,7,25,2015,8
Práter utca,,,238.0,62.0,223.0,53.0,231,115,31,2015,8
Puskin utca,,,335.0,11.0,,,335,11,23,2015,8
Rákóczi tér,,,289.0,5.0,,,263,6,31,2015,8
Rákóczi út,,,253.0,90.0,,,253,90,28,2015,8
Reguly Antal utca,,,,,,,339,4,42,2015,8
Reviczky utca,,,350.0,4.0,,,350,4,12,2015,8
Rigó utca,,,305.0,4.0,,,305,4,29,2015,8
Rökk Szilárd utca,,,243.0,13.0,,,243,13,21,2015,8
Rozgonyi utca,,,195.0,6.0,,,195,6,25,2015,8
Salétrom utca,,,260.0,10.0,,,260,10,22,2015,8
Salgótarjáni utca,,,202.0,10.0,,,202,10,16,2015,8
Sárkány utca,,,265.0,10.0,,,265,10,24,2015,8
Somogyi Béla utca,,,243.0,28.0,,,243,28,32,2015,8
Stáhly utca,,,243.0,7.0,,,243,7,20,2015,8
Stróbl Alajos utca,,,259.0,9.0,,,259,9,15,2015,8
Százados út,,,,,260.0,8.0,265,10,17,2015,8
Szemafor utca,,,214.0,6.0,,,214,6,23,2015,8
Szentkirályi utca,,,260.0,30.0,,,260,30,20,2015,8
Szerdahelyi utca,,,176.0,22.0,,,176,22,46,2015,8
Szeszgyár utca,,,207.0,10.0,,,207,10,19,2015,8
Szigetvári utca,,,169.0,3.0,,,169,3,14,2015,8
Szigony utca,,,181.0,32.0,173.0,31.0,177,63,22,2015,8
Szilágyi utca,,,238.0,3.0,,,238,3,11,2015,8
Szörény utca,,,213.0,9.0,,,213,9,28,2015,8
Szűz utca,,,177.0,3.0,,,177,3,23,2015,8
Tavaszmező utca,,,234.0,16.0,,,234,16,22,2015,8
Tbiliszi tér,,,196.0,15.0,,,196,15,6,2015,8
Teleki László tér,,,211.0,39.0,,,211,39,36,2015,8
Tolnai Lajos utca,,,330.0,23.0,,,330,23,21,2015,8
Tömő utca,,,238.0,8.0,227.0,29.0,230,37,24,2015,8
Üllői út,,,254.0,66.0,,,254,66,25,2015,8
Vajda Péter utca,,,212.0,17.0,,,212,17,21,2015,8
Vajdahunyad utca,,,266.0,6.0,,,266,6,46,2015,8
Vas utca,,,257.0,15.0,,,257,15,33,2015,8
Vay Ádám utca,,,190.0,15.0,,,190,15,29,2015,8
Víg utca,,,263.0,24.0,,,263,24,34,2015,8
Visi Imre utca,,,213.0,16.0,,,213,16,33,2015,8
együtt,264.0,5.0,236.0,2594.0,214.0,161.0,235,2760,35,2015,8
Angyal utca,,,379.0,23.0,,,379,23,35,2015,9
Aranyvirág sétány,,,291.0,13.0,,,291,13,24,2015,9
Aszódi utca,,,180.0,5.0,,,180,5,23,2015,9
Bakáts tér,,,301.0,13.0,,,301,13,27,2015,9
Bakáts utca,,,344.0,9.0,,,344,9,25,2015,9
Balázs Béla utca,,,325.0,16.0,231.0,3.0,310,19,27,2015,9
Berzenczey utca,,,406.0,9.0,,,406,9,27,2015,9
Bokréta utca,,,354.0,27.0,,,354,27,26,2015,9
Boráros tér,,,338.0,11.0,,,338,11,33,2015,9
Börzsöny utca,,,269.0,21.0,249.0,3.0,267,24,24,2015,9
Csárdás köz,,,,,256.0,4.0,256,4,24,2015,9
Csengettyű utca,,,279.0,16.0,214.0,3.0,269,19,22,2015,9
Dandár utca,,,394.0,26.0,,,394,26,29,2015,9
Dési Huber utca,,,259.0,42.0,,,259,42,27,2015,9
Drégely utca,,,383.0,18.0,,,383,18,28,2015,9
Ecseri út,,,245.0,16.0,,,245,16,28,2015,9
Egyetértés utca,,,256.0,4.0,,,256,4,34,2015,9
Epreserdő utca,,,282.0,52.0,,,282,52,19,2015,9
Erkel utca,,,279.0,17.0,,,279,17,26,2015,9
Ernő utca,,,303.0,27.0,,,303,27,31,2015,9
Ferenc körút,,,291.0,69.0,,,291,69,29,2015,9
Ferenc tér,,,326.0,12.0,,,326,12,35,2015,9
Füleki utca,,,187.0,3.0,,,187,4,6,2015,9
Gabona utca,,,346.0,9.0,,,346,9,22,2015,9
Gálya utca,,,389.0,3.0,,,389,3,26,2015,9
Gát utca,,,327.0,16.0,,,327,16,30,2015,9
Gyáli út,,,174.0,27.0,,,175,29,23,2015,9
Haller utca,,,314.0,66.0,223.0,12.0,300,78,34,2015,9
Hentes utca,,,168.0,7.0,,,168,7,26,2015,9
Hőgyes Endre utca,,,296.0,19.0,,,296,19,24,2015,9
Hurok utca,,,266.0,5.0,,,266,5,21,2015,9
Ifjúmunkás utca,,,264.0,20.0,266.0,7.0,264,27,25,2015,9
Ipar utca,,,323.0,34.0,,,323,34,38,2015,9
Kinizsi utca,,,329.0,18.0,,,329,18,34,2015,9
Knézich utca,,,299.0,6.0,,,299,6,38,2015,9
Kosárka sétány,,,262.0,10.0,,,262,10,23,2015,9
Közraktár utca,,,356.0,13.0,,,356,13,31,2015,9
Köztelek utca,,,443.0,3.0,,,443,3,7,2015,9
Lechner Ödön fasor,,,585.0,23.0,,,585,23,25,2015,9
Lenhossék utca,,,446.0,17.0,,,446,17,22,2015,9
Liliom utca,,,349.0,42.0,,,349,42,29,2015,9
Lobogó utca,,,280.0,11.0,,,280,11,28,2015,9
Lónyay utca,,,321.0,83.0,,,321,83,26,2015,9
Márton utca,,,330.0,34.0,,,330,34,36,2015,9
Mátyás utca,,,260.0,3.0,,,260,3,45,2015,9
Mester utca,,,277.0,97.0,,,277,97,34,2015,9
Mihálkovics utca,,,272.0,12.0,,,272,12,30,2015,9
Napfény utca,,,280.0,22.0,,,280,22,22,2015,9
Páva utca,,,349.0,11.0,,,349,11,37,2015,9
Pipa utca,,,332.0,4.0,,,332,4,19,2015,9
Pöttyös utca,,,244.0,14.0,234.0,4.0,242,18,22,2015,9
Ráday utca,,,328.0,77.0,,,328,78,29,2015,9
Sobieski János utca,,,291.0,46.0,,,290,47,36,2015,9
Soroksári út,,,267.0,28.0,,,267,28,50,2015,9
Tagló utca,,,209.0,7.0,,,209,7,28,2015,9
Távíró utca,,,295.0,28.0,,,295,28,17,2015,9
Telepy utca,,,301.0,34.0,,,297,36,27,2015,9
Thaly Kálmán utca,,,352.0,24.0,,,352,24,32,2015,9
Tinódi utca,,,360.0,13.0,,,360,13,28,2015,9
Tompa utca,,,345.0,27.0,,,345,27,20,2015,9
Toronyház utca,,,277.0,17.0,,,277,17,18,2015,9
Tóth Kálmán utca,,,365.0,11.0,,,365,11,10,2015,9
Tűzoltó utca,,,329.0,24.0,287.0,3.0,324,27,34,2015,9
Üllői út,,,250.0,175.0,232.0,22.0,248,197,30,2015,9
Vágóhíd utca,,,246.0,45.0,,,246,45,29,2015,9
Vámház körút,,,249.0,11.0,,,249,11,38,2015,9
Vaskapu utca,,,326.0,22.0,,,326,22,27,2015,9
Vendel utca,,,442.0,10.0,,,442,10,18,2015,9
Viola utca,,,373.0,47.0,,,373,47,31,2015,9
Víztorony köz,,,204.0,3.0,,,204,3,16,2015,9
együtt,209.0,5.0,306.0,1742.0,238.0,64.0,303,1811,35,2015,9
Agyagfejtő utca,,,,,159.0,17.0,159,17,18,2015,10
Alkér utca,,,205.0,3.0,,,204,5,12,2015,10
Állomás utca,,,202.0,6.0,177.0,25.0,182,31,23,2015,10
Balkán utca,,,,,199.0,15.0,199,15,30,2015,10
Bánya utca,,,225.0,13.0,,,225,13,36,2015,10
Bányató utca,,,,,187.0,21.0,187,21,19,2015,10
Bihari utca,,,,,193.0,6.0,183,7,30,2015,10
Bolgár utca,,,199.0,13.0,,,199,13,26,2015,10
Cserkesz utca,,,213.0,16.0,,,206,17,42,2015,10
Csilla utca,,,163.0,3.0,188.0,28.0,186,31,26,2015,10
Csombor utca,,,,,204.0,5.0,210,6,7,2015,10
Doba utca,,,180.0,5.0,,,180,5,11,2015,10
Dombtető utca,,,,,167.0,15.0,167,15,23,2015,10
Dömsödi utca,227.0,4.0,,,,,227,4,11,2015,10
Előd utca,,,177.0,6.0,,,177,6,17,2015,10
Endre utca,,,169.0,6.0,,,169,6,24,2015,10
Füzér utca,,,233.0,16.0,,,233,16,33,2015,10
Gép utca,,,184.0,5.0,,,184,5,17,2015,10
Gépmadár utca,,,,,214.0,19.0,214,19,19,2015,10
Gergely utca,,,239.0,27.0,251.0,15.0,241,43,23,2015,10
Gőzmozdony utca,,,,,182.0,26.0,182,26,24,2015,10
Gyakorló köz,,,,,226.0,10.0,226,10,28,2015,10
Gyakorló utca,,,,,237.0,81.0,237,81,23,2015,10
Gyömrői út,,,119.0,7.0,,,121,9,24,2015,10
Halas utca,,,353.0,3.0,,,353,3,9,2015,10
Halom köz,,,189.0,12.0,,,189,12,17,2015,10
Halom utca,,,273.0,18.0,,,273,18,26,2015,10
Hang utca,,,,,166.0,12.0,166,12,26,2015,10
Hargita sétány,,,,,220.0,5.0,220,5,19,2015,10
Harmat köz,,,192.0,8.0,,,192,8,27,2015,10
Harmat utca,,,200.0,56.0,204.0,37.0,202,95,21,2015,10
Hatház utca,,,230.0,3.0,238.0,27.0,237,30,21,2015,10
Hölgy utca,,,204.0,13.0,,,204,13,29,2015,10
Hős utca,,,66.0,8.0,,,66,8,56,2015,10
Hungária körút,,,,,230.0,26.0,230,26,25,2015,10
Ihász köz,,,204.0,13.0,,,204,13,20,2015,10
Ihász utca,,,180.0,15.0,,,180,15,35,2015,10
Kada köz,,,246.0,5.0,,,246,5,12,2015,10
Kada utca,,,225.0,17.0,,,225,17,36,2015,10
Kápolna köz,,,226.0,8.0,,,226,8,10,2015,10
Kápolna tér,,,259.0,4.0,,,259,4,21,2015,10
Kápolna utca,,,174.0,38.0,,,174,38,25,2015,10
Kéknyelű utca,,,223.0,13.0,,,223,13,13,2015,10
Kékvirág utca,,,,,227.0,6.0,227,6,30,2015,10
Kelemen utca,,,231.0,13.0,,,231,13,35,2015,10
Kisbacon utca,,,156.0,3.0,,,156,3,9,2015,10
Kőbányai út,,,347.0,16.0,217.0,5.0,316,21,23,2015,10
Kolozsvári utca,,,159.0,6.0,,,149,8,25,2015,10
Kőrösi Csoma Sándor út,,,180.0,70.0,204.0,7.0,182,77,26,2015,10
Kőrösi Csoma sétány,,,226.0,4.0,,,226,4,27,2015,10
Korponai utca,,,186.0,7.0,,,186,7,17,2015,10
Kővágó utca,,,,,178.0,14.0,178,14,21,2015,10
Kozma utca,,,187.0,6.0,,,187,6,23,2015,10
Lavotta utca,,,,,210.0,22.0,213,23,24,2015,10
Lenfonó utca,,,,,171.0,10.0,171,10,25,2015,10
Liget tér,,,184.0,7.0,,,184,7,27,2015,10
Liget utca,,,255.0,30.0,,,255,30,34,2015,10
Mádi utca,,,219.0,25.0,192.0,17.0,209,43,24,2015,10
Maglódi út,,,192.0,20.0,,,196,21,22,2015,10
Makk utca,,,320.0,4.0,,,320,4,5,2015,10
Márga utca,,,170.0,4.0,,,181,5,34,2015,10
Martinovics tér,,,204.0,3.0,,,204,3,30,2015,10
Mélytó utca,,,,,179.0,7.0,179,7,16,2015,10
Mongol utca,,,203.0,10.0,,,200,11,32,2015,10
Noszlopy utca,,,208.0,11.0,204.0,4.0,207,15,30,2015,10
Nyerő utca,,,240.0,3.0,,,240,3,30,2015,10
Nyitra utca,,,225.0,5.0,,,217,6,32,2015,10
Óhegy utca,,,242.0,4.0,,,237,5,9,2015,10
Oltó utca,,,,,196.0,15.0,196,15,20,2015,10
Ónodi köz,,,188.0,6.0,,,188,6,14,2015,10
Ónodi utca,,,202.0,7.0,,,202,7,35,2015,10
Pára utca,,,,,161.0,10.0,161,10,14,2015,10
Petrőczy utca,,,235.0,7.0,,,235,7,39,2015,10
Pongrácz út,,,203.0,4.0,,,203,4,34,2015,10
Román utca,,,181.0,5.0,,,181,5,41,2015,10
Salgótarjáni utca,,,180.0,34.0,,,180,34,25,2015,10
Sibrik Miklós út,,,228.0,3.0,,,228,3,40,2015,10
